CustomerID,Age,Gender,Annual_Income,Spending_Score,Membership_Level,Region,Product_Category,Purchase_Frequency,Last_Purchase_Days,IsActive,Satisfaction_Score
29,61.0,Male,58951.0,66,Platinum,North,Groceries,4,338,1,1
30,42.0,Male,19645.0,70,Platinum,North,Electronics,8,212,1,5
31,66.0,Male,53006.0,73,Platinum,East,Electronics,3,238,1,2
32,44.0,Male,45212.0,69,Gold,North,Groceries,5,200,1,1
33,59.0,Female,30894.0,84,Gold,North,Clothing,7,178,1,10
34,45.0,Male,55025.0,29,Platinum,West,Clothing,18,153,1,8
35,33.0,Female,42623.0,85,Gold,West,Clothing,8,44,1,4
36,32.0,Female,42716.0,73,Silver,West,Groceries,11,168,1,2
37,64.0,Male,51860.0,92,Gold,West,Groceries,14,287,1,5
38,68.0,Male,40611.0,72,Silver,North,Groceries,18,197,1,6
39,61.0,Male,51436.0,95,Platinum,South,Groceries,13,337,1,8
40,69.0,Male,41100.0,20,Gold,East,Clothing,6,74,1,7
41,20.0,Female,41923.0,27,Platinum,East,Clothing,13,171,1,7
42,54.0,Female,64893.0,8,Basic,South,Furniture,1,183,1,1
43,68.0,Female,66420.0,85,Gold,South,Groceries,11,16,0,3
44,24.0,Male,24370.0,61,Gold,East,Furniture,7,68,0,3
45,38.0,Female,61206.0,28,Platinum,North,Groceries,10,325,0,7
46,26.0,Male,70978.0,87,Platinum,East,Furniture,2,42,1,2
47,56.0,Male,73360.0,70,Platinum,South,Clothing,16,110,0,10
48,35.0,Male,57805.0,3,Basic,North,Clothing,5,41,1,7
49,21.0,Male,34139.0,69,Basic,East,Furniture,16,306,1,9
50,42.0,Male,59449.0,73,Platinum,North,Electronics,16,6,0,1
51,31.0,Female,36961.0,7,Gold,North,Groceries,15,331,1,2
52,67.0,Female,44855.0,60,Gold,South,Furniture,9,181,1,6
53,,Male,55746.0,4,Platinum,West,Furniture,1,273,1,2
54,43.0,Female,37928.0,5,Silver,East,Electronics,9,361,1,2
55,19.0,Male,32803.0,11,Basic,South,Clothing,11,185,0,5
56,37.0,Male,56986.0,15,Basic,East,Furniture,5,323,1,7
57,45.0,Male,78008.0,64,Silver,West,Clothing,6,144,0,4
58,64.0,Female,68648.0,98,Platinum,West,Groceries,8,100,0,6
59,24.0,Male,126154.19794779431,150,Gold,West,Electronics,15,90,1,3
60,,Male,64687.0,7,Gold,West,Clothing,16,246,0,4
61,25.0,Female,59565.0,6,Basic,East,Furniture,18,239,1,4
62,64.0,Female,56748.0,56,Silver,North,Electronics,12,212,1,4
63,52.0,Female,63479.0,64,Gold,North,Electronics,4,81,0,1
64,31.0,Male,29474.0,50,Basic,West,Electronics,16,115,0,4
65,,Male,52992.0,30,Gold,West,Electronics,11,276,0,4
66,53.0,Female,48785.0,22,Gold,North,Electronics,7,80,1,6
67,67.0,Male,51183.0,25,Gold,South,Groceries,15,56,0,9
68,57.0,Female,43079.0,28,Basic,West,Groceries,17,179,0,10
69,21.0,Female,57807.0,84,Silver,North,Electronics,15,309,0,6
70,19.0,,37731.0,39,Platinum,South,Furniture,10,49,1,6
71,23.0,Male,41992.0,67,Silver,North,Furniture,4,260,1,7
72,59.0,Female,40191.0,5,Gold,South,Groceries,17,274,0,7
73,21.0,Female,62959.0,65,Silver,East,Clothing,4,292,0,1
74,46.0,Female,,15,Gold,South,Electronics,11,291,0,8
75,35.0,Female,43087.0,90,Basic,West,Furniture,4,30,1,1
76,43.0,Male,44398.0,67,Basic,South,Groceries,12,252,1,9
77,61.0,Female,50058.0,40,Basic,South,Groceries,10,63,1,4
78,51.0,Female,74332.0,98,Gold,West,Clothing,14,82,1,9
79,27.0,Female,,69,Silver,East,Clothing,18,325,1,8
80,53.0,Male,60132.0,95,Platinum,South,Furniture,6,169,0,9
81,31.0,Male,57077.0,77,Platinum,East,Clothing,5,310,0,6
82,48.0,Female,36755.0,43,Basic,North,Clothing,2,343,1,9
83,65.0,Male,72003.0,1,Platinum,North,Electronics,13,158,1,4
84,32.0,Male,58089.0,22,Gold,West,Groceries,14,56,0,3
85,25.0,,42384.0,62,Silver,East,Groceries,3,335,0,3
86,31.0,Female,22108.0,79,Platinum,West,Clothing,11,142,0,8
87,40.0,Female,,26,Platinum,West,Groceries,4,149,0,2
88,57.0,Male,49328.0,18,Silver,South,Groceries,13,226,0,6
89,38.0,Female,,48,Platinum,North,Furniture,8,25,0,9
90,33.0,Female,34345.0,9,,West,Groceries,8,178,0,9
91,62.0,Male,63027.0,1,Gold,South,Clothing,13,95,0,8
92,35.0,Male,20664.0,9,Gold,South,Furniture,10,53,0,8
93,64.0,Female,,23,Gold,East,Groceries,13,304,0,1
94,41.0,Male,47188.0,45,Basic,North,Groceries,13,70,0,7
95,43.0,Female,57457.0,2,Gold,East,Furniture,17,176,1,1
96,42.0,Female,45585.0,14,Platinum,East,Furniture,6,132,1,9
97,62.0,Male,54399.0,38,Basic,West,Groceries,2,339,1,3
98,58.0,Female,38858.0,40,Basic,East,Electronics,17,338,0,1
99,46.0,Female,49261.0,63,Basic,West,Electronics,12,360,0,8
100,32.0,Male,57336.0,82,Gold,East,Groceries,6,331,1,7
101,62.0,Male,52263.0,16,Basic,South,Groceries,5,213,1,2
102,18.0,Male,55704.0,93,Gold,North,Furniture,5,211,0,7
103,42.0,Female,36081.0,75,,North,Furniture,9,345,0,5
104,24.0,Male,41139.0,6,Basic,North,Groceries,3,64,0,7
105,26.0,Male,41399.0,3,Basic,South,Groceries,5,35,1,10
106,41.0,Male,45852.0,14,Platinum,South,Groceries,7,12,0,7
107,18.0,Male,70378.0,66,Basic,East,Groceries,12,346,0,2
108,61.0,Female,44687.0,96,Gold,East,Electronics,7,311,0,2
109,25.0,Female,32846.0,95,Platinum,East,Furniture,10,248,0,7
110,41.0,Male,58124.0,75,Platinum,East,Clothing,8,112,1,3
111,28.0,Female,70199.0,86,Gold,North,Groceries,17,325,1,4
112,68.0,Male,31081.0,67,Basic,East,Groceries,5,91,0,7
113,34.0,Male,79592.0,31,Basic,South,Groceries,15,294,1,2
114,25.0,Female,56227.0,33,Silver,South,Clothing,9,29,1,2
115,52.0,Female,65508.0,88,Basic,South,Furniture,11,12,0,9
116,52.0,Male,72006.0,1,Silver,West,Furniture,13,147,1,1
117,50.0,Male,64589.0,44,,West,Groceries,18,137,0,3
118,22.0,Female,48341.0,15,Platinum,West,Groceries,17,338,0,10
119,59.0,Male,68265.0,37,Platinum,East,Furniture,9,157,1,4
120,56.0,Female,53818.0,27,Silver,North,Clothing,10,259,0,5
121,58.0,Male,66357.0,48,Gold,North,Groceries,5,87,0,3
122,45.0,Male,67998.0,27,Gold,East,Clothing,11,158,0,9
123,,Female,33636.0,12,Platinum,East,Clothing,15,186,0,5
124,26.0,Female,61914.0,67,Silver,West,Furniture,2,344,1,7
125,25.0,Female,,30,Silver,South,Groceries,14,309,0,7
126,29.0,Female,52072.0,96,Platinum,South,Electronics,5,357,1,9
127,51.0,Female,51906.0,87,Basic,West,Furniture,6,229,1,2
128,50.0,Female,51304.0,66,Platinum,West,Furniture,15,4,1,3
129,65.0,Female,72852.0,7,Silver,North,Electronics,4,57,0,4
130,40.0,Male,29503.0,34,Basic,West,Groceries,10,28,1,8
131,41.0,Male,24164.0,32,Gold,South,Clothing,19,16,1,1
132,54.0,Male,21000.0,39,Basic,South,Clothing,9,13,1,9
133,52.0,Female,66037.0,96,,East,Clothing,10,200,1,5
134,61.0,Female,38398.0,43,Silver,North,Groceries,4,184,1,4
135,57.0,Female,51982.0,43,Platinum,East,Furniture,4,309,1,8
136,39.0,Male,48279.0,78,Platinum,North,Furniture,6,304,1,9
137,44.0,Female,36704.0,3,Platinum,East,Furniture,8,281,0,3
138,52.0,Female,62772.0,46,Platinum,North,Furniture,16,322,0,4
139,18.0,Male,48088.0,32,Platinum,West,Furniture,8,158,1,1
140,52.0,Female,46433.0,43,Silver,South,Electronics,16,360,1,3
141,54.0,Male,53493.0,100,Silver,West,Clothing,6,259,0,10
142,64.0,Male,,81,Platinum,North,Clothing,17,157,1,5
143,31.0,Female,35615.0,3,Basic,North,Groceries,1,94,1,8
144,20.0,Female,63093.0,74,Platinum,East,Electronics,19,267,0,1
145,18.0,Female,71747.0,63,Gold,North,Furniture,18,21,1,1
146,22.0,Male,28608.0,40,Gold,West,Furniture,17,127,1,3
147,43.0,Male,54174.0,18,Gold,North,Furniture,17,347,1,9
148,31.0,Male,45426.0,67,Gold,North,Electronics,12,351,1,9
149,56.0,Female,60488.0,62,Platinum,East,Groceries,12,350,0,1
150,44.0,Female,31750.0,10,Gold,North,Electronics,6,112,1,4
151,26.0,Female,74434.0,52,Basic,East,Groceries,7,234,1,8
152,32.0,Female,25881.0,73,Platinum,South,Clothing,8,34,0,2
153,32.0,Male,46335.0,46,Gold,East,Groceries,3,80,0,4
154,43.0,Male,56514.0,55,Platinum,North,Clothing,17,83,1,7
155,59.0,Male,39704.0,46,Platinum,South,Groceries,8,29,1,7
156,30.0,Male,37348.0,75,Platinum,North,Clothing,11,131,1,5
157,,Female,53333.0,60,Silver,East,Clothing,18,11,1,7
158,49.0,Female,51166.0,97,Gold,West,Furniture,16,62,1,6
159,,Female,50089.0,100,Silver,South,Groceries,13,359,1,2
160,66.0,Male,62880.0,26,Basic,West,Furniture,9,33,1,9
161,69.0,Male,44082.0,27,Basic,West,Clothing,19,136,0,5
162,49.0,Female,54793.0,38,Silver,South,Furniture,7,88,0,2
163,21.0,Female,42400.0,22,Gold,West,Electronics,17,17,1,6
164,47.0,Male,37260.0,26,Platinum,West,Furniture,8,91,1,10
165,54.0,Female,45728.0,86,Basic,West,Groceries,8,299,1,5
166,40.0,Male,42518.0,69,Basic,West,Furniture,3,253,1,2
167,56.0,Male,43267.0,35,Basic,South,Electronics,16,73,1,10
168,62.0,Male,67479.0,66,Gold,North,Furniture,12,206,1,10
169,32.0,Female,46188.0,99,Silver,West,Clothing,15,261,0,7
170,60.0,Female,40056.0,73,Silver,South,Clothing,4,178,0,10
171,46.0,Male,50421.0,51,Gold,South,Clothing,7,312,1,2
172,53.0,Female,51563.0,18,Basic,South,Groceries,11,313,1,7
173,30.0,Male,32196.0,43,Gold,South,Furniture,5,220,1,6
174,49.0,Male,45523.0,12,,East,Clothing,13,173,0,4
175,24.0,,44919.0,3,Silver,North,Furniture,11,165,0,4
176,68.0,Male,47417.0,82,Gold,North,Electronics,5,328,0,6
177,39.0,Female,60882.0,7,Gold,West,Electronics,8,335,1,9
178,45.0,Male,52050.0,97,Basic,South,Groceries,17,220,0,10
179,19.0,Male,68419.0,6,Platinum,East,Furniture,11,292,1,6
180,59.0,Female,49825.0,82,Basic,South,Electronics,19,161,1,6
181,62.0,,76641.0,45,Silver,West,Groceries,18,248,1,1
182,23.0,Male,43088.0,86,Platinum,North,Groceries,10,71,1,5
183,45.0,Female,38456.0,39,Basic,West,Clothing,5,92,0,1
184,45.0,Female,58209.0,51,Gold,West,Electronics,1,361,1,9
185,61.0,Female,70461.0,9,Gold,West,Furniture,17,321,1,10
186,61.0,Male,29317.0,99,Platinum,West,Electronics,17,245,0,4
187,37.0,Female,47045.0,23,Platinum,West,Electronics,1,24,1,2
188,47.0,Female,40838.0,12,Gold,West,Furniture,1,45,1,9
189,28.0,Male,52142.0,88,Silver,West,Furniture,9,189,1,6
190,45.0,Male,50150.0,62,Basic,North,Clothing,4,286,0,10
191,42.0,Male,70180.0,73,Gold,North,Groceries,9,321,1,3
192,56.0,Male,48373.0,77,Basic,South,Furniture,14,341,1,2
193,50.0,Male,70621.0,40,Basic,South,Furniture,15,83,0,6
194,18.0,Female,45273.0,54,Basic,East,Electronics,16,222,1,10
195,44.0,Female,63897.0,81,Basic,East,Furniture,16,352,1,6
196,69.0,Female,53429.0,7,Silver,North,Furniture,13,343,1,9
197,30.0,Male,75948.0,17,,North,Electronics,14,219,1,5
198,58.0,Male,27844.0,50,Silver,East,Electronics,9,218,0,9
199,20.0,Male,32542.0,24,Gold,North,Electronics,9,190,0,5
200,56.0,Female,77474.0,2,Gold,East,Clothing,4,67,1,2
201,23.0,Female,39001.0,99,Gold,South,Groceries,10,31,0,1
202,25.0,Male,126154.19794779431,150,Silver,North,Furniture,3,322,1,9
203,44.0,Female,36864.0,83,Basic,North,Electronics,9,250,1,10
204,26.0,Male,67226.0,33,Silver,East,Electronics,19,54,0,7
205,54.0,Female,31198.0,21,Gold,West,Groceries,16,10,1,3
206,50.0,Female,50336.0,74,Platinum,West,Clothing,16,166,1,6
207,68.0,Female,,53,Gold,South,Furniture,17,339,1,10
208,59.0,Male,65547.0,46,Basic,North,Clothing,18,285,1,4
209,,Female,41544.0,45,Silver,North,Clothing,10,153,0,9
210,41.0,Female,56229.0,9,Platinum,East,Clothing,19,32,0,2
211,32.0,Male,32431.0,6,Platinum,West,Electronics,15,17,0,4
212,49.0,Female,84109.0,51,Basic,West,Groceries,15,301,0,1
213,49.0,Male,46406.0,35,Silver,South,Groceries,11,305,0,7
214,41.0,Male,50131.0,82,Platinum,West,Groceries,8,343,1,4
215,58.0,Male,74821.0,53,Gold,West,Clothing,16,146,0,5
216,69.0,Male,41199.0,19,Basic,West,Furniture,10,75,0,1
217,66.0,Male,75010.0,69,Platinum,East,Clothing,9,124,1,2
218,66.0,Female,43827.0,25,Basic,West,Groceries,15,52,1,4
219,69.0,Male,60075.0,11,Silver,South,Electronics,5,190,1,2
220,29.0,Male,41409.0,74,Silver,West,Clothing,2,141,1,1
221,56.0,Male,29659.0,17,Silver,South,Electronics,16,88,1,10
222,,Male,56218.0,36,Gold,East,Groceries,18,84,0,1
223,20.0,Female,59598.0,90,Platinum,East,Clothing,16,243,0,6
224,66.0,Male,30261.0,95,Silver,South,Electronics,5,106,0,2
225,,Female,45394.0,96,Gold,East,Clothing,1,92,1,3
226,66.0,Male,68011.0,21,Silver,North,Groceries,19,355,0,5
227,34.0,Female,59001.0,18,Silver,North,Furniture,10,21,1,3
228,66.0,Male,44071.0,60,Platinum,North,Groceries,13,6,0,6
229,19.0,Male,41037.0,18,Gold,North,Furniture,11,221,1,7
230,19.0,Female,79223.0,1,Silver,North,Furniture,15,309,0,10
231,45.0,Male,28296.0,14,Gold,East,Groceries,2,87,0,6
232,40.0,Female,49112.0,8,Gold,South,Electronics,6,180,1,2
233,54.0,Male,28029.0,66,Silver,East,Clothing,11,342,1,9
234,49.0,Female,69722.0,51,,West,Clothing,15,352,1,2
235,50.0,Male,49893.0,79,Basic,North,Clothing,9,246,0,6
236,18.0,Male,52672.0,60,Platinum,North,Furniture,12,174,1,9
237,36.0,Female,91533.0,34,Silver,East,Furniture,4,113,1,9
238,19.0,Male,41097.0,36,,West,Groceries,14,71,1,2
239,61.0,Male,76228.0,62,Platinum,East,Electronics,3,158,0,9
240,43.0,Male,44139.0,1,Silver,South,Groceries,17,299,1,8
241,49.0,Male,46497.0,85,Gold,North,Groceries,13,237,0,7
242,23.0,Male,,42,Platinum,East,Electronics,8,187,0,8
243,49.0,Male,47583.0,1,Gold,South,Furniture,12,243,0,10
244,21.0,Female,29384.0,96,Basic,North,Groceries,12,166,1,8
245,28.0,Female,54228.0,84,Silver,North,Groceries,12,34,0,1
246,34.0,Female,47408.0,54,Basic,North,Furniture,2,255,1,9
247,55.0,Male,55506.0,47,Silver,West,Clothing,10,302,1,6
248,41.0,Female,47996.0,100,Silver,East,Electronics,9,220,1,1
249,22.0,Male,83233.0,39,Gold,North,Electronics,1,32,0,1
250,69.0,Male,58351.0,30,Basic,North,Clothing,4,257,0,7
251,51.0,Male,33875.0,7,Gold,South,Electronics,14,233,0,10
252,23.0,Male,51868.0,22,Gold,East,Clothing,16,215,1,2
253,39.0,Female,38005.0,50,Gold,South,Groceries,18,242,1,6
254,28.0,,46284.0,45,Basic,East,Electronics,2,245,0,5
255,65.0,Female,36343.0,74,Silver,North,Electronics,6,20,0,5
256,33.0,Male,81606.0,72,Silver,West,Groceries,3,210,1,10
257,50.0,,39629.0,91,Basic,South,Furniture,19,210,1,6
258,26.0,Female,60313.0,10,Silver,West,Furniture,13,72,1,8
259,23.0,Female,45147.0,14,Basic,West,Groceries,17,162,1,5
260,33.0,Female,32623.0,46,Basic,West,Electronics,14,178,0,8
261,46.0,Female,52964.0,75,Silver,East,Electronics,11,11,0,5
262,20.0,Female,56010.0,6,Platinum,East,Electronics,16,363,1,10
263,37.0,Male,58379.0,21,Gold,West,Clothing,11,299,0,6
264,53.0,Female,10666.0,62,Basic,North,Furniture,18,266,0,8
265,36.0,Male,31477.0,97,Basic,North,Electronics,2,8,1,2
266,43.0,Female,64363.0,19,Platinum,West,Furniture,8,275,1,7
267,20.0,Male,36145.0,88,Basic,South,Furniture,14,193,0,3
268,36.0,Female,53044.0,82,Basic,South,Electronics,2,311,1,9
269,37.0,Female,31129.0,99,Silver,East,Groceries,13,259,0,10
270,49.0,Male,60974.0,62,,South,Groceries,10,53,1,7
271,24.0,Female,63969.0,83,,North,Furniture,8,300,0,3
272,69.0,Female,60978.0,53,Basic,West,Clothing,7,96,1,8
273,58.0,Female,65488.0,24,Gold,South,Furniture,13,304,0,10
274,50.0,,73458.0,56,Silver,West,Furniture,19,310,1,2
275,57.0,Female,32388.0,62,Gold,South,Groceries,15,92,1,10
276,56.0,Male,38169.0,34,Gold,East,Electronics,2,144,1,8
277,35.0,Female,63463.0,22,Platinum,North,Electronics,5,307,1,7
278,57.0,Female,66953.0,68,Platinum,East,Clothing,19,18,1,5
279,18.0,Male,39884.0,57,Basic,West,Groceries,1,126,0,4
280,28.0,Female,38841.0,10,Platinum,North,Groceries,7,154,0,10
281,45.0,,40216.0,66,Silver,North,Furniture,18,6,1,10
282,42.0,Male,25923.0,8,Basic,East,Groceries,1,334,0,1
283,67.0,Female,30928.0,97,Basic,South,Furniture,1,338,0,4
284,40.0,Male,31290.0,38,Gold,East,Clothing,7,336,1,6
285,48.0,,45588.0,62,Gold,West,Groceries,17,88,0,6
286,47.0,Male,54062.0,28,Gold,South,Groceries,6,269,0,2
287,59.0,Female,56502.0,10,Basic,East,Furniture,12,65,0,9
288,52.0,Male,,45,Platinum,East,Groceries,15,166,0,1
289,24.0,Male,42740.0,65,Platinum,South,Electronics,13,64,1,4
290,33.0,Female,51854.0,98,Platinum,South,Clothing,12,270,0,4
291,43.0,Male,27559.0,67,Basic,South,Electronics,2,145,0,2
292,65.0,Female,64391.0,9,Basic,East,Furniture,18,333,0,8
293,69.0,Female,69280.0,5,Basic,South,Furniture,4,269,0,2
294,66.0,Female,40616.0,10,Basic,South,Furniture,10,329,1,2
295,19.0,Female,44023.0,12,,South,Clothing,11,6,0,2
296,18.0,Male,68649.0,82,Platinum,North,Groceries,6,121,1,1
297,65.0,,48154.0,58,Basic,West,Electronics,6,350,1,5
298,29.0,Male,58823.0,21,Platinum,South,Groceries,9,313,1,4
299,22.0,Male,48615.0,21,Basic,West,Furniture,13,309,1,2
300,54.0,Male,73344.0,65,Platinum,South,Groceries,5,302,1,1
301,49.0,Female,57351.0,3,Silver,South,Clothing,6,334,0,1
302,26.0,Male,58214.0,69,Silver,North,Furniture,4,132,0,2
303,58.0,Male,58494.0,89,Platinum,North,Groceries,6,290,1,1
304,52.0,Male,41673.0,64,Silver,South,Electronics,18,189,1,9
305,36.0,Female,43051.0,49,Silver,South,Furniture,13,209,0,2
306,65.0,Female,61538.0,72,Platinum,South,Furniture,3,42,0,3
307,33.0,Male,51896.0,17,Basic,West,Clothing,10,78,1,9
308,20.0,Female,32335.0,73,Basic,South,Clothing,4,320,0,5
309,37.0,Male,78096.0,32,Platinum,West,Electronics,15,145,0,8
310,41.0,,64671.0,70,Gold,North,Groceries,12,286,1,7
311,50.0,Female,50564.0,21,Gold,West,Groceries,15,171,1,6
312,,Female,45897.0,7,Silver,South,Furniture,10,93,1,2
313,,Male,52980.0,7,,North,Furniture,12,263,1,4
314,28.0,Male,57762.0,27,Silver,East,Groceries,8,23,1,9
315,66.0,Female,19504.0,8,Basic,North,Groceries,3,292,0,7
316,25.0,Male,81685.0,73,Platinum,East,Groceries,7,142,1,3
317,53.0,Female,38151.0,28,Basic,West,Furniture,18,148,0,6
318,55.0,Male,49971.0,79,Platinum,North,Clothing,3,116,1,8
319,57.0,Female,50523.0,66,Gold,North,Clothing,15,81,1,8
320,37.0,Male,79952.0,71,Basic,North,Electronics,2,25,1,8
321,52.0,Male,48678.0,47,Basic,West,Groceries,15,115,1,8
322,65.0,Female,73827.0,82,Silver,South,Groceries,13,94,1,10
323,42.0,Male,56100.0,86,Platinum,West,Groceries,10,305,1,6
324,52.0,Male,35571.0,10,Gold,North,Electronics,8,185,0,10
325,42.0,Female,52020.0,33,Basic,South,Groceries,16,283,1,3
326,46.0,Male,48222.0,7,Platinum,North,Clothing,16,155,1,9
327,35.0,Male,33738.0,3,Gold,North,Groceries,2,174,0,3
328,63.0,Male,,14,Basic,East,Electronics,9,351,0,4
329,35.0,Female,50331.0,44,Platinum,North,Furniture,8,173,1,10
330,19.0,Female,58346.0,46,Silver,West,Furniture,11,154,0,1
331,,Female,52900.0,61,Basic,West,Clothing,1,14,0,2
332,33.0,Male,40233.0,36,Platinum,West,Clothing,11,304,1,6
333,58.0,Male,61525.0,13,Gold,South,Clothing,18,128,1,1
334,53.0,,40634.0,16,Gold,East,Furniture,15,341,0,9
335,50.0,Male,3504.0,80,Silver,East,Groceries,9,92,1,8
336,21.0,Female,51929.0,5,Basic,North,Electronics,9,271,0,2
337,50.0,Male,41688.0,89,Silver,North,Electronics,1,222,0,2
338,31.0,Male,55731.0,38,Platinum,East,Groceries,7,307,0,8
339,38.0,Male,79983.0,50,Gold,South,Furniture,12,310,0,8
340,65.0,Female,80416.0,38,Silver,West,Furniture,10,108,1,1
341,37.0,Male,47523.0,56,Basic,North,Electronics,19,331,1,5
342,25.0,Male,37602.0,63,Platinum,East,Clothing,16,28,1,2
343,24.0,Male,58770.0,48,,South,Clothing,6,197,1,1
344,20.0,Male,44446.0,90,Silver,West,Electronics,11,200,1,3
345,34.0,Male,55876.0,59,Gold,North,Electronics,19,154,1,3
346,50.0,Female,40087.0,77,Gold,West,Groceries,19,70,1,10
347,65.0,Male,53760.0,44,Silver,West,Groceries,18,160,1,9
348,29.0,Male,37820.0,90,Basic,East,Groceries,15,352,1,10
349,68.0,Male,67763.0,55,Basic,East,Groceries,16,103,1,1
350,39.0,Male,41150.0,55,Basic,West,Groceries,14,236,1,2
351,39.0,Male,,1,Basic,West,Groceries,8,189,1,9
352,63.0,Male,31028.0,8,Gold,North,Clothing,8,343,0,5
353,47.0,Male,61717.0,4,Basic,South,Electronics,2,361,1,9
354,55.0,Male,35504.0,85,Silver,South,Furniture,6,109,1,6
355,55.0,Male,,86,Silver,West,Groceries,13,337,1,10
356,62.0,Male,65348.0,53,Silver,East,Clothing,13,301,1,10
357,68.0,Female,47000.0,58,Silver,South,Electronics,12,255,1,3
358,25.0,Female,34562.0,37,,West,Electronics,2,316,0,8
359,44.0,Female,,49,Gold,East,Electronics,12,193,0,9
360,44.0,Female,37385.0,67,Platinum,North,Groceries,17,71,1,2
361,51.0,Male,43936.0,19,Basic,South,Groceries,6,269,1,9
362,38.0,Female,53981.0,1,Platinum,North,Furniture,7,334,1,4
363,47.0,Female,70410.0,29,Gold,East,Groceries,6,209,0,8
364,50.0,,50398.0,87,Basic,West,Electronics,4,176,1,5
365,45.0,Female,50342.0,33,Platinum,North,Electronics,9,239,1,6
366,64.0,Female,61062.0,52,Gold,West,Clothing,5,98,0,4
367,50.0,,50755.0,41,Platinum,South,Clothing,10,347,0,5
368,,Male,59532.0,23,Silver,North,Furniture,15,89,1,1
369,65.0,Male,66178.0,5,Silver,South,Clothing,8,252,1,3
370,36.0,Female,45083.0,71,Gold,South,Furniture,4,99,0,4
371,21.0,Female,874.0,57,Gold,South,Clothing,5,329,1,1
372,52.0,Male,37731.0,6,Platinum,South,Electronics,7,326,1,3
373,,,68130.0,49,,South,Groceries,6,154,0,4
374,34.0,Female,49493.0,22,Silver,East,Groceries,13,295,1,9
375,61.0,Male,44913.0,77,,North,Furniture,19,283,0,3
376,45.0,Female,67501.0,76,Basic,West,Groceries,10,296,1,3
377,47.0,Male,48480.0,4,Platinum,West,Groceries,15,31,1,4
378,46.0,Male,18612.0,72,,East,Clothing,3,131,0,9
379,63.0,Female,27420.0,64,Gold,West,Electronics,18,216,0,9
380,23.0,Male,56279.0,37,Gold,West,Groceries,14,15,0,1
381,52.0,Male,48996.0,31,Platinum,West,Electronics,3,326,0,8
382,58.0,Male,71819.0,37,Silver,North,Clothing,11,267,0,10
383,54.0,Female,39000.0,45,Gold,West,Clothing,10,286,0,1
384,,Male,45357.0,90,Gold,North,Groceries,17,291,0,2
385,46.0,Male,36732.0,8,,West,Groceries,13,43,0,10
386,66.0,Male,42191.0,40,Gold,West,Clothing,2,168,0,5
387,63.0,Male,21621.0,97,Basic,North,Clothing,13,349,1,6
388,48.0,Male,44214.0,93,Silver,East,Furniture,19,255,1,2
389,52.0,Male,49221.0,5,Silver,West,Furniture,5,170,0,10
390,50.0,Female,47955.0,28,Silver,South,Electronics,16,259,1,5
391,69.0,Female,82243.0,81,,South,Clothing,10,346,0,3
392,38.0,Male,77502.0,87,Silver,East,Electronics,12,78,0,7
393,49.0,Female,38736.0,9,Platinum,South,Clothing,13,339,1,1
394,40.0,Female,19340.0,2,Platinum,North,Electronics,16,85,0,5
395,50.0,Male,48511.0,63,Platinum,West,Furniture,1,149,0,3
396,20.0,Female,55647.0,96,Silver,West,Clothing,9,201,0,2
397,35.0,Female,37092.0,51,Silver,West,Clothing,16,77,0,3
398,42.0,Female,37835.0,31,Silver,West,Electronics,19,361,1,10
